,gamma,network_size,norm_sum_power
0,0.095,290,0.5468269963744887
0,0.095,290,0.5747622073552755
0,0.095,310,0.5479796880042178
0,0.095,310,0.5829270239374087
0,0.095,310,0.5577390428305159
0,0.095,310,0.538922272079427
0,0.095,310,0.5728247875223932
0,0.095,330,0.5592214834823122
0,0.095,330,0.5402561340519799
0,0.095,330,0.5863583774603758
0,0.095,330,0.5820941205485952
0,0.095,330,0.5331318705813759
0,0.096,150,0.5761344182311423
0,0.096,150,0.6133217663334879
0,0.096,150,0.6178995753502861
0,0.096,150,0.5905219403926196
0,0.096,150,0.6088387242542412
0,0.096,170,0.6289187919836251
0,0.096,170,0.601827758290798
0,0.096,170,0.6075575174846919
0,0.096,170,0.606111727590351
0,0.096,170,0.5846426149565817
0,0.096,190,0.600508448879173
0,0.096,190,0.6127165648436768
0,0.096,190,0.6030148674501932
0,0.096,190,0.6067119322027966
0,0.096,190,0.6260701349509554
0,0.096,210,0.6072331263783701
0,0.096,210,0.6025035673284339
0,0.096,210,0.6361750401234421
0,0.096,210,0.5934521448731256
0,0.096,210,0.6203326474456946
0,0.096,230,0.631832932870872
0,0.096,230,0.6109276920845255
0,0.096,230,0.6189596319771576
0,0.096,230,0.6058916640626352
0,0.096,230,0.6092572541621725
0,0.096,250,0.6129772300488171
0,0.096,250,0.60256584280159
0,0.096,250,0.5991642824604319
0,0.096,250,0.6470667319929119
0,0.096,250,0.584817102077056
0,0.096,270,0.5998748759381346
0,0.096,270,0.5998825619697636
0,0.096,270,0.5930917224334581
0,0.096,270,0.5960481430913039
0,0.096,270,0.5872543380062142
0,0.096,290,0.5852749689424831
0,0.096,290,0.5988858638888439
0,0.096,290,0.6194563816890042
0,0.096,290,0.5868540914040733
0,0.096,290,0.5944191250033046
0,0.096,310,0.6037317645606968
0,0.096,310,0.6015169911793466
0,0.096,310,0.6118595326565566
0,0.096,310,0.5989059765609642
0,0.096,310,0.5965144097809671
0,0.096,330,0.6086791724532318
0,0.096,330,0.634060568853638
0,0.096,330,0.586907004902057
0,0.096,330,0.6261582772847895
0,0.096,330,0.6279932775817608
0,0.097,150,0.6622749937244904
0,0.097,150,0.6791926565136684
0,0.097,150,0.6587121053053121
0,0.097,150,0.6611682759369064
0,0.097,150,0.6372053088706257
0,0.097,170,0.6636493768413526
0,0.097,170,0.6827528374983743
0,0.097,170,0.7027196093666552
0,0.097,170,0.627756325081443
0,0.097,170,0.6867328246514517
0,0.097,190,0.6479913562311272
0,0.097,190,0.6680338439921376
0,0.097,190,0.6563094787353994
0,0.097,190,0.6875324409736363
0,0.097,190,0.6337783450994942
0,0.097,210,0.6811087053158005
0,0.097,210,0.6796781351094612
0,0.097,210,0.6712388302755761
0,0.097,210,0.6874459454462842
0,0.097,210,0.6617549304491359
0,0.097,230,0.6995174319243255
0,0.097,230,0.6530749723620828
0,0.097,230,0.6801605657841836
0,0.097,230,0.6892256015219618
0,0.097,230,0.6692735690023762
0,0.097,250,0.6881502766363827
0,0.097,250,0.6659369703085806
0,0.097,250,0.6876479401367015
0,0.097,250,0.7051845616281064
0,0.097,250,0.6401684723721691
0,0.097,270,0.6819052603695306
0,0.097,270,0.6836962752348688
0,0.097,270,0.691442139058561
0,0.097,270,0.6707385039258381
0,0.097,270,0.6953840325588583
0,0.097,290,0.6642606769591858
0,0.097,290,0.6728657627806676
0,0.097,290,0.6967763517197983
0,0.097,290,0.6437263602791337
0,0.097,290,0.695757835755535
0,0.097,310,0.6678806489861542
0,0.097,310,0.6687064122333112
0,0.097,310,0.7111780782080147
0,0.097,310,0.6767787657324433
